Label (Grouping),Median income (dollars)
        Estimate,"81,613"
        Margin of Error,"±19,474"
    Families,
        Estimate,"105,833"
        Margin of Error,"±18,406"
    Married-couple families,
        Estimate,"109,821"
        Margin of Error,"±24,500"
    Nonfamily households,
        Estimate,"44,250"
        Margin of Error,"±17,461"
"Census Tract 1312, Los Angeles County, California",
    Households,
        Estimate,"81,929"
        Margin of Error,"±17,418"
    Families,
        Estimate,"100,250"
        Margin of Error,"±26,305"
    Married-couple families,
        Estimate,"126,322"
        Margin of Error,"±18,275"
    Nonfamily households,
        Estimate,"25,179"
        Margin of Error,"±18,922"
"Census Tract 1313, Los Angeles County, California",
    Households,
        Estimate,"71,848"
        Margin of Error,"±12,626"
    Families,
        Estimate,"73,603"
        Margin of Error,"±13,203"
    Married-couple families,
        Estimate,"79,688"
        Margin of Error,"±17,861"
    Nonfamily households,
        Estimate,"50,417"
        Margin of Error,"±17,978"
"Census Tract 1314, Los Angeles County, California",
    Households,
        Estimate,"67,730"
        Margin of Error,"±7,537"
    Families,
        Estimate,"82,147"
        Margin of Error,"±12,534"
    Married-couple families,
        Estimate,"89,688"
        Margin of Error,"±20,905"
    Nonfamily households,
        Estimate,"45,000"
        Margin of Error,"±7,718"
"Census Tract 1316, Los Angeles County, California",
    Households,
        Estimate,"77,222"
        Margin of Error,"±26,152"
    Families,
        Estimate,"97,738"
        Margin of Error,"±26,110"
    Married-couple families,
        Estimate,"108,375"
        Margin of Error,"±15,987"
    Nonfamily households,
        Estimate,"50,476"
        Margin of Error,"±17,690"
"Census Tract 1317.01, Los Angeles County, California",
    Households,
        Estimate,"71,595"
        Margin of Error,"±6,806"
    Families,
        Estimate,"78,889"
        Margin of Error,"±10,383"
    Married-couple families,
        Estimate,"106,905"
        Margin of Error,"±29,020"
    Nonfamily households,
        Estimate,"52,125"
        Margin of Error,"±12,373"
"Census Tract 1317.02, Los Angeles County, California",
    Households,
        Estimate,"68,083"
        Margin of Error,"±15,774"
    Families,
        Estimate,"64,970"
        Margin of Error,"±20,081"
    Married-couple families,
        Estimate,"73,594"
        Margin of Error,"±23,114"
    Nonfamily households,
        Estimate,"27,286"
