OBJECTID,FIPS Code,Primary RUCA Code 2010,Secondary RUCA Code 2010,Tract Population 2010,Land Area sqmi 2010,Population Density sqmi 2010,SD,SPA,CSA,Shape__Area,Shape__Length
4464,06037236000,1,1,4113,1.5,2694.8,District 2,SPA 6 - South,Los Angeles - Baldwin Hills,43287793.8828125,31639.3687969437
4465,06037236100,1,1,5265,0.4,12060.2,District 2,SPA 6 - South,Los Angeles - Baldwin Hills,12170530.5527344,14923.9342500202
4466,06037236202,1,1,6192,0.2,36286.2,District 2,SPA 6 - South,Los Angeles - Baldwin Hills,4757280.16894531,9476.98013335906
4467,06037269800,1,1,3458,0.2,19174.4,District 3,SPA 5 - West,Los Angeles - Beverlywood,5027651.89453125,12035.2715368967
4468,06037226410,1,1,3491,0.1,32007.8,District 2,SPA 6 - South,Los Angeles - Central,3040629.92675781,7123.36499352983
4469,06037228100,1,1,4916,0.4,12690.2,District 2,SPA 6 - South,Los Angeles - Vernon Central,10799828.7304688,15274.7696639512
4470,06037228220,1,1,4389,0.1,31040.5,District 2,SPA 6 - South,Los Angeles - Vernon Central,3941934.15039063,9102.4923805429
4471,06037228310,1,1,4449,0.2,21091.8,District 2,SPA 6 - South,Los Angeles - Central,5880551.42578125,11254.2576702564
4472,06037228420,1,1,3150,0.1,29411.3,District 2,SPA 6 - South,Los Angeles - South Park,2985840.19335938,7921.09657880815
4473,06037269000,1,1,5138,0.9,5827.3,District 3,SPA 5 - West,Los Angeles - Cheviot Hills,24700267.8896484,30135.8238428404
4474,06037269300,1,1,3885,0.9,4562.3,District 3,SPA 5 - West,Los Angeles - Cheviot Hills,23772380.6552734,20336.6176609943
4475,06037240500,1,1,5655,0.3,18035.7,District 2,SPA 6 - South,Los Angeles - Vermont Vista,8746291.42675781,12263.8117917457
4476,06037269500,1,1,4043,0.5,7508.1,District 3,SPA 5 - West,Los Angeles - Beverlywood,14899364.4121094,18057.6999410146
4477,06037269700,1,1,4085,0.3,11787,District 3,SPA 5 - West,Los Angeles - Reynier Village,9661690.41210938,14772.7968504255
4478,06037228800,1,1,5575,0.3,17098.3,District 2,SPA 6 - South,Los Angeles - Vernon Central,9090038.06640625,12361.1824283789
4479,06037228900,1,1,3216,0.2,16157.4,District 2,SPA 6 - South,Los Angeles - Vernon Central,5549020.78027344,9659.07222731672
4480,06037237710,1,1,3887,0.2,23288.7,District 2,SPA 6 - South,Los Angeles - Vermont Knolls,4653115.33300781,9397.90901525515
4481,06037239330,1,1,2879,0.4,7612.3,District 2,SPA 6 - South,Los Angeles - Florence-Firestone,10543713.9462891,13439.6673056477
4482,06037240700,1,1,6161,0.5,13358.7,District 2,SPA 6 - South,Los Angeles - Green Meadows,12857907.5654297,15031.6461232876
4483,06037232300,1,1,3926,0.2,16172,District 2,SPA 6 - South,Los Angeles - Vermont Square,6768010.0234375,11548.1229872713
4484,06037240800,1,1,4377,0.2,17975.5,District 2,SPA 6 - South,Los Angeles - Century Palms/Cove,6872449.43359375,13530.582867624
4485,06037240900,1,1,5620,0.4,13762.5,District 2,SPA 6 - South,Los Angeles - Century Palms/Cove,11522212.4824219,14267.4699669784
4486,06037241110,1,1,3074,0.2,16360.5,District 2,SPA 6 - South,Los Angeles - Century Palms/Cove,5238307.22265625,10529.9830786973
4487,06037241120,1,1,4564,0.3,17820.4,District 2,SPA 6 - South,Los Angeles - Century Palms/Cove,7144247.90136719,11601.9598916146
4488,06037241400,1,1,3285,0.2,14798,District 2,SPA 6 - South,Los Angeles - Century Palms/Cove,6195531.51171875,11029.8514452944
4489,06037231100,1,1,3350,0.3,9704.6,District 2,SPA 6 - South,Los Angeles - Exposition Park,9623608.18261719,12919.9545913141
4490,06037231210,1,1,3688,0.1,29786.2,District 2,SPA 6 - South,Los Angeles - Exposition Park,3451788.94824219,7922.6447074455
4491,06037231220,1,1,3824,0.4,10261.4,District 2,SPA 6 - South,Los Angeles - Exposition Park,10389154.2099609,13177.4646767095
4492,06037270200,1,1,3761,0.3,12849.3,District 3,SPA 5 - West,Los Angeles - Regent Square,8225812.21875,14331.1939936548
4493,06037270300,1,1,2364,0.4,6354.4,District 2,SPA 4 - Metro,Los Angeles - Faircrest Heights,10511306.6777344,13672.0513788107
